Support Journey,DSAT Level,Comments,id,primary_topic,subtopic,issue_type,intent,sentiment,emotion,driver_type,root_cause,failure_stage,impact_severity,customer_effort,experience_impact,confidence_score,Action_Owner
Question or issue with core / main features,1,Nothing is fixed,7172,Technical & Playback Issues,Bugs & Technical Errors,System Failure,Complaint,Negative,Frustration,Technical,Technical fix was unsuccessful or not implemented correctly,Resolution,Medium,High,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,4,"Um... there are no subtitles... Subtitles should appear if I click ""More,"" but they aren't there... They are completely locked.",7176,Technical & Playback Issues,Bugs & Technical Errors,Bug,Complaint,Negative,Confusion,Product,Subtitles UI element missing or locked despite user navigation,Product Usage,Medium,Medium,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,1,"I've tried everything but nothing works, and I'm only getting canned responses.",7179,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Frustration,Process,Ineffective troubleshooting steps combined with generic template responses,Support Interaction,High,High,Inconvenience,0.9,Support & QA
Question or issue with core / main features,1,Problem not resolved,7183,Product Features & Content,Playback & Streaming,Other,Complaint,Negative,Frustration,Technical,Failure to resolve the primary technical issue,Resolution,High,High,Inconvenience,0.85,Policy & Brand
Playback Issues,1,It's not resolved.,7186,Technical & Playback Issues,Playback & Streaming,Bug,Complaint,Negative,Disappointment,Technical,Unresolved technical issue following support contact,Resolution,Medium,Medium,Inconvenience,0.85,Sales & Product
Playback Issues,1,"In dealing with the sudden situation, there was no way to resolve the problem other than waiting. Since then, I have often experienced inconvenience because YouTube Music does not work properly.",7187,Product Features & Content,Playback & Streaming,Bug,Complaint,Negative,Frustration,Technical,Recurring service instability and lack of immediate resolution tools,Resolution,High,Medium,Inconvenience,0.9,Policy & Brand
Question or issue with core / main features,1,I feel like I only received mechanical answers.,7188,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Disappointment,People,Over-reliance on scripted or automated responses lacking personalization,Support Interaction,Medium,Medium,Trust Loss,0.9,Support & QA
Non-SUJ identified issues,1,"They told me to send feedback because they can't fix it, which is a bit disappointing.",7189,Customer Support Experience,Support Processes & Friction,Other,Complaint,Negative,Disappointment,Policy,Support protocol directing users to feedback channels instead of providing direct fixes,Resolution,Medium,Medium,Inconvenience,0.88,Support & QA
User wants to cancel and receive a refund (including due to free trial converting to paid),5,"I clearly canceled (for the 1-month free trial of the premium service) and received an email confirming it was processed, but for some unknown reason, I was informed that my request had been re-applied. I cannot understand this. Shouldn't the premium service be deactivated immediately upon cancellation? I want to use the service again, but I am hesitating due to the reasons mentioned above.",7193,Cancellations & Refunds,Cancellations,System Failure,Complaint,Negative,Confusion,Technical,System error causing cancellation requests to be re-applied or ignored,Post-Cancellation,High,High,Trust Loss,0.88,Support & QA
Playback Issues,1,"I understand that the support team lacks the authority, but it is difficult to accept that even after receiving a response, it is impossible to verify the current status.",7194,Customer Support Experience,Support Processes & Friction,Miscommunication,Complaint,Negative,Disappointment,Process,Lack of visibility and status tracking for reported technical issues,Support Interaction,Medium,Medium,Inconvenience,0.9,Support & QA
Non-SUJ identified issues,5,"They were kind, but the problem wasn't resolved.",7196,Customer Support Experience,Support Experience Feedback,Other,Feedback,Neutral,Disappointment,Process,Support interaction concluded without a technical resolution despite positive soft skills.,Resolution,Medium,Medium,Inconvenience,0.9,Support & QA
I want to know the status of my transaction,2,It still hasn't been resolved.,7198,"Billing, Payments & Sales",Support Processes & Friction,Delay,Complaint,Negative,Frustration,Process,Failure to resolve transaction status within an acceptable timeframe.,Resolution,Medium,High,Delay,0.85,Sales & Product
Non-SUJ identified issues,4,I don't know how to solve this.,7205,Customer Support Experience,Support Processes & Friction,UX Issue,Query,Neutral,Confusion,Process,Lack of clear self-service instructions or intuitive troubleshooting steps,Resolution,Medium,High,Inconvenience,0.85,Support & QA
Non-SUJ identified issues,1,They won't solve it,7206,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Frustration,People,Perceived refusal or inability of support staff to provide a solution,Resolution,High,High,Trust Loss,0.9,Support & QA
Non-SUJ identified issues,2,"I hope that YouTube becomes a fair platform solely for the people, without getting entangled in politics.",7208,"Policy, Trust & Safety",Trust & Safety,Other,Suggestion,Negative,Disappointment,Policy,Perceived political bias in platform moderation or algorithms,Engagement,Low,Low,Trust Loss,0.8,Policy & Brand
Request to delete purchase history,1,<<GSP_REDACTED>>,7210,Account Management & Security,Privacy & Data,Other,Complaint,Negative,Frustration,Unknown,Unknown,Unknown,Medium,Unknown,Inconvenience,0.5,Policy & Brand
User wants to cancel and receive a refund (including due to free trial converting to paid),1,"Lack of explanation, company-centric response, and the view that there is no service settlement at all, especially at the headquarters.",7211,Cancellations & Refunds,Refunds & Adjustments,Miscommunication,Complaint,Negative,Frustration,Policy,Rigid refund policies and lack of transparent explanation regarding service settlements,Resolution,High,High,Financial Impact,0.9,Support & QA
User sees Ads,1,Please resolve this.,7212,Subscriptions & Memberships,Premium Benefits & Access,System Failure,Complaint,Negative,Frustration,Technical,Ads appearing despite user expectations or subscription status,Product Performance,Medium,Low,Inconvenience,0.85,Sales & Product
Question or issue with search,1,"This is a method I have tried, but the fundamental problem was not resolved.",7217,Product Features & Content,App Features & Navigation,System Failure,Complaint,Negative,Disappointment,Technical,Standard troubleshooting steps failed to address the underlying technical issue,Support Resolution,Medium,Medium,Inconvenience,0.88,Policy & Brand
Playback Issues,1,"There were many inconveniences, and the problems were not actually resolved. I experienced a great many issues, and there were problems that could not be resolved by suggesting the use of a different device or account.",7218,Technical & Playback Issues,App Performance & Crashing,System Failure,Complaint,Negative,Frustration,Technical,Persistent technical defect that bypasses standard account/device troubleshooting,Support Resolution,High,High,Inconvenience,0.9,Sales & Product
Playback Issues,1,"I was told how to improve it, but the situation has repeated itself.",7219,Technical & Playback Issues,Playback & Streaming,System Failure,Complaint,Negative,Disappointment,Technical,Ineffective long-term resolution leading to recurring technical symptoms,Support Resolution,Medium,Medium,Inconvenience,0.85,Sales & Product
Playback Issues,1,The problem is automated responses rather than customized problem-solving.,7224,Customer Support Experience,App Features & Navigation,System Failure,Complaint,Negative,Frustration,Technical,Over-reliance on automated responses failing to address specific user needs,Resolution,Medium,Medium,Inconvenience,0.9,Support & QA
User wants to cancel and receive a refund (including due to free trial converting to paid),2,You need to manage the channel's memberships well.,7225,Subscriptions & Memberships,Plan Management (Individual),UX Issue,Feedback,Negative,Disappointment,Product,Poor user interface or process for managing channel memberships,Retention,Medium,High,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,1,"Only inquiry items reported, not considering details",7227,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Frustration,People,Agent failed to address specific details of the customer inquiry,Support Interaction,Medium,High,Inconvenience,0.85,Support & QA
Playback Issues,5,I thought it was AI. The explanation seems insufficient.,7229,Customer Support Experience,App Features & Navigation,UX Issue,Feedback,Neutral,Confusion,Technical,Automated explanation was insufficient or lacked depth,Support Interaction,Low,Medium,Inconvenience,0.88,Support & QA
I want to know the status of my transaction,5,doesn't exist,7232,"Billing, Payments & Sales",Billing & Payment Issues,System Failure,Query,Negative,Confusion,Technical,Missing or inaccessible transaction status feature,Post-Purchase,Medium,Medium,Inconvenience,0.85,Sales & Product
Non-SUJ identified issues,5,"They were kind, but it was difficult to solve the problem immediately.",7235,Customer Support Experience,Support Experience Feedback,Delay,Feedback,Neutral,Other,Process,Lack of immediate resolution capability despite positive agent interaction,Resolution,Low,Medium,Delay,0.9,Support & QA
